left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.36458,2.64247,7.6839,0.816665,0.748129,-1.36396,0.671126,-4.34122,6.21803,-0.848401,1.4892,0.310147,1.66
-1.33601,2.63295,7.64599,0.738737,0.753909,-1.36814,0.123708,-4.23995,6.97687,-0.857567,1.49811,0.29941,1.67
-1.6418,2.38737,8.24007,0.823519,0.760645,-1.33124,0.112899,-4.13824,6.98236,-0.898074,1.49123,0.26033,1.68
-1.3546,2.69679,7.70127,0.778792,0.752643,-1.355,0.123403,-4.23978,6.97727,-0.857616,1.49807,0.299376,1.69
-1.35562,2.47658,7.63588,0.815896,0.743628,-1.33706,0.382405,-4.17179,6.34703,-0.926687,1.47032,0.276289,1.7
-1.36465,2.64252,7.68386,0.816693,0.748122,-1.36396,0.414097,-4.16054,6.30779,-0.849042,1.47741,0.278818,1.71
-1.33604,2.63278,7.64584,0.738783,0.753941,-1.36811,0.390302,-4.0679,6.28438,-0.897264,1.47575,0.316163,1.72
-1.64183,2.3874,8.23998,0.823579,0.760642,-1.33121,0.369717,-4.13194,6.33956,-0.937671,1.47327,0.303517,1.73
-1.63208,2.48959,8.23236,0.784285,0.766408,-1.37127,0.392892,-4.27331,6.34195,-0.886254,1.47714,0.315339,1.74
-1.34608,2.5787,7.62823,0.77668,0.749376,-1.37708,0.403977,-4.32649,6.35765,-0.849061,1.48169,0.305309,1.75
-1.63219,2.48957,8.2323,0.784297,0.766404,-1.37127,0.393399,-4.22473,6.36288,-0.889501,1.47488,0.266209,1.76
-1.36665,2.65568,7.6925,0.790523,0.75556,-1.38174,0.382401,-4.17174,6.34719,-0.926666,1.47031,0.276295,1.77
-1.63194,2.48938,8.23229,0.784296,0.766449,-1.37125,0.393353,-4.22472,6.36295,-0.889499,1.47489,0.266202,1.78
-1.35575,2.47673,7.63605,0.815932,0.743575,-1.33706,0.112868,-4.13827,6.98239,-0.898044,1.49126,0.260328,1.79
-1.36467,2.64266,7.68388,0.81668,0.748099,-1.36397,0.393393,-4.22476,6.36291,-0.889519,1.47487,0.266225,1.8
-1.35497,2.74472,7.6763,0.777404,0.753884,-1.404,0.403292,-4.05883,6.3132,-0.889539,1.47053,0.23974,1.81
-1.63206,2.48966,8.23222,0.78431,0.766398,-1.37127,0.413904,-4.16058,6.3078,-0.849108,1.47737,0.27882,1.82
-1.36464,2.64276,7.68386,0.81668,0.74808,-1.36398,0.393334,-4.22466,6.36296,-0.889497,1.47488,0.266186,1.83
-1.63797,2.61143,7.95334,0.815415,0.686617,-1.37054,0.382353,-4.17179,6.34723,-0.926693,1.4703,0.276314,1.84
-1.34604,2.57877,7.62838,0.776701,0.749356,-1.37709,0.39299,-4.27335,6.34201,-0.886227,1.47715,0.31536,1.85
-1.6419,2.38765,8.23972,0.823598,0.76061,-1.33122,0.112914,-4.13825,6.9823,-0.898075,1.49121,0.260321,1.86
-1.64193,2.38775,8.24003,0.823568,0.760565,-1.33125,0.112779,-4.13819,6.9825,-0.898055,1.49124,0.260308,1.87
