left_arm_positions.q_1,left_arm_positions.q_2,left_arm_positions.q_3,left_arm_positions.q_4,left_arm_positions.q_5,left_arm_positions.q_6,left_arm_positions.q_7,right_arm_positions.q_1,right_arm_positions.q_2,right_arm_positions.q_3,right_arm_positions.q_4,right_arm_positions.q_5,right_arm_positions.q_6,right_arm_positions.q_7,waist_position.q_w,time.t
-0.0220127,0.201335,-0.114259,0.422714,-0.0923064,0.350368,-0.141609,-0.012962,-0.197662,0.127894,0.44275,0.0829709,0.353208,0.162222,0.000562483,1.23
-0.0220041,0.201335,-0.114245,0.422697,-0.0922825,0.350368,-0.141609,-0.012962,-0.197653,0.127921,0.442732,0.0829589,0.353184,0.162222,0.000562483,1.24
-0.0220041,0.201335,-0.114205,0.422688,-0.0923064,0.350368,-0.141597,-0.012979,-0.197662,0.127908,0.442741,0.0829828,0.353208,0.162222,0.000562483,1.25
-0.0220127,0.201335,-0.114232,0.422705,-0.0923064,0.350368,-0.141621,-0.0129705,-0.197653,0.127908,0.44275,0.0829828,0.353196,0.162222,0.00058805,1.26
-0.0219955,0.201326,-0.114245,0.422705,-0.0923064,0.350344,-0.141597,-0.012979,-0.197662,0.127921,0.442732,0.0829589,0.353196,0.162222,0.00058805,1.27
-0.022038,0.201335,-0.114232,0.422705,-0.0923185,0.350332,-0.141621,-0.012979,-0.197662,0.127934,0.442732,0.082947,0.353208,0.162222,0.00058805,1.28
-0.0220041,0.201326,-0.114232,0.422705,-0.0923064,0.350332,-0.141633,-0.0129534,-0.197662,0.127921,0.442732,0.0829709,0.353196,0.162222,0.00058805,1.29
-0.0220213,0.201318,-0.114245,0.422697,-0.0923064,0.350344,-0.141621,-0.012962,-0.197679,0.127908,0.442741,0.0829709,0.353196,0.162222,0.00058805,1.3
-0.0220127,0.201335,-0.114245,0.422714,-0.0922945,0.35032,-0.141609,-0.0129705,-0.197653,0.127921,0.442741,0.0829589,0.353196,0.16221,0.00058805,1.31
-0.0220213,0.201318,-0.114259,0.422705,-0.0923185,0.350308,-0.141609,-0.0129875,-0.197645,0.127921,0.44275,0.0829709,0.353196,0.162222,0.00058805,1.32
